ID#,Name,Primary
1750,Brady Raggio
1009963,Phil Paine
1013572,Jimmy Walsh
1000463,Neal Baker
1001166,Tiny Bonham
1009082,Bill Mooneyham
10946,Josh Smith
1011916,George Shoch
1007512,Denny Lemaster
1000226,Fred Anderson
1005054,Tom Griffin
1012824,Kevin Tapani
1001296,John Brackenridge
9486,George Kontos
1003646,Jack Easton
1001248,Ryan Bowen
1012118,Dave Smith
1005377,George Harper
1005213,Jim Haislip
1000964,Jim Bilbrey
2710,Ruddy Lugo
1007015,Stan Klopp
1000847,Shayne Bennett
1005679,Phil Hensiek
1003616,Jimmy Dygert
683,Nelson Figueroa
13415,Angel Nesbitt
1011202,Zeke Rosebraugh
1001874,Bill Campbell
1003400,Tom Donovan
1001350,Mark Brandenburg
1001306,Fred Bradley
1007674,Jake Livingstone
1007837,Del Lundgren
1011152,Cookie Rojas
1005163,Santiago Guzman
1009914,Bob Owchinko
1001071,Clarence Blethen
1009561,Frank Nicholson
1002133,Spud Chandler
2895,Zach McAllister
15423,Andrew Heaney
1003069,Mike Davison
3166,Clayton Mortensen
274,Will Cunnane
2377,Jose Ceda
1004335,Bill French
1000727,Ed Beatin
1007712,Mickey Lolich
1005364,John Harkins
1001836,Fred Caligiuri
1000887,Dwight Bernard
1005862,Bruce Hitt
1009667,Rich Nye
1000576,Virgil Barnes
10065,Johnny Hellweg
1002350,Stew Cliburn
1008932,Roger Miller
1007099,Dennis Konuszewski
1007001,Ron Klimkowski
1008708,Dave Meads
5495,Steve Schmoll
1005371,Bob Harmon
1005431,Slim Harriss
1005498,Chris Haughey
944,Barry Zito
1010611,Tad Quinn
9364,Brett Sinkbeil
1012946,Greg Thayer
952,Rheal Cormier
10267,Tanner Scheppers
1006699,Ed Karger
1003417,Cal Dorsett
1013392,Lou Vedder
1000712,Belve Bean
1636,Cliff Lee
1000266,Joaquin Andujar
1003910,Pete Falcone
1005652,Weldon Henley
1012079,Walt Smallwood
1001812,Charlie Cady
1007971,Jim Magnuson
1004606,Emil Geiss
1008692,Trick McSorley
1000484,Mark Baldwin
1010511,Al Pratt
4063,Anthony Recker
7059,James Shields
1008416,Jim McCormick
961,Jose Mesa
1006639,Mike Judd
1000959,Charlie Biggs
5538,Jared Wells
1001341,Harvey Branch
1001619,Gary Buckels
1000118,Vic Aldridge
1000309,Orville Armbrust
1005091,Wayne Gross
1005569,Dave Heaverlo
1009241,Walter Moser
1000289,Fred Archer
1000573,Ross Barnes
1010878,Flint Rhem
1001079,Terry Blocker
7005,Ryan Pressly
1012300,Al Spalding
1002794,Jack Cronin
1007230,Clem Labine
1004268,Art Fowler
1011645,Webb Schultz
1006533,Bumpus Jones
11050,Christopher Rearick
1005206,Hal Haid
1009756,Bob Ojeda
1002975,Pete Daniels
1012616,Jim Strickland
1011308,Amos Rusie
2159,Boof Bonser
1013086,Dave Tobik
1007587,Richie Lewis
1007724,Jim Lonborg
4817,Jesse Crain
737,Matt Kinney
5705,Tim Lincecum
1003061,Joel Davis
2586,Wandy Rodriguez
2532,Juan Padilla
6627,Brad Brach
1006245,Mark Hutton
1001639,De Wayne Buice
3396,Heath Phillips
16137,Carlos Rodon
1004682,Bob Giggie
1014408,George Zackert
1004360,Pete Fries
1009865,Ossie Orwoll
1003110,Paul Dean
5561,Ty Taubenheim
1020,Jason Boyd
1014230,Pete Wood
1002616,Jack Corcoran
563,Brad Lidge
1203,Luis de los Santos
1002106,John Cerutti
1006641,Ralph Judd
10019,Taylor Thompson
1007189,Jeff Kubenka
1003133,Jim Dedrick
1914,Justin Huisman
1010046,Claude Passeau
1011725,Diego Segui
1001017,Jim Blackburn
1259,Colby Lewis
1011267,Jean-Pierre Roy
1004973,Johnny Gray
3805,Jess Todd
1002273,Dad Clarke
1014349,Ray Yochim
1001277,Gary Boyd
1005764,Greg Hibbard
1012088,Al Smith
1007945,Morris Madden
1002992,Mike Darr
1008263,Mike Mattimore
1003908,Hector Fajardo
1010627,Steve Rachunok
1004422,Gary Gaetti
1003466,John Doyle
1000690,Stan Baumgartner
11855,Yordano Ventura
1003001,Frank Dasso
