Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+
2014-07-08,LAD,@DET,2,RF,4,0,0,0,0,1,0,0,0,25.0 %,0.0 %,.000,.000,.000,.250,.000,.172,6
2014-07-06,LAD,@COL,2,RF,5,1,1,0,0,2,1,0,0,20.0 %,0.0 %,.250,.250,.250,.400,.500,.394,157
2014-07-05,LAD,@COL,1,RF,5,2,1,0,0,2,1,0,0,0.0 %,20.0 %,.200,.500,.400,.400,.600,.435,185
2014-07-04,LAD,@COL,2,RF,6,1,0,0,1,1,2,0,0,0.0 %,0.0 %,.500,.000,.167,.167,.667,.356,131
2014-07-03,LAD,@COL,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2014-07-02,LAD,CLE,9,PH-RF,2,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.446,193
2014-07-01,LAD,CLE,2,RF,5,2,1,0,0,1,1,0,0,0.0 %,40.0 %,.200,.667,.400,.400,.600,.435,185
2014-06-30,LAD,CLE,2,RF,4,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-06-29,LAD,STL,2,RF,4,1,1,0,0,2,0,0,0,25.0 %,25.0 %,.333,.500,.333,.500,.667,.493,225
2014-06-28,LAD,STL,2,RF,5,2,0,0,0,2,0,0,0,20.0 %,0.0 %,.000,.500,.500,.600,.500,.494,226
2014-06-27,LAD,STL,2,RF,4,1,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.395,158
2014-06-26,LAD,STL,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-25,LAD,@KCR,2,RF,5,2,1,1,0,1,1,0,0,0.0 %,20.0 %,.600,.500,.400,.400,1.000,.583,287
2014-06-24,LAD,@KCR,3,DH,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-06-23,LAD,@KCR,3,RF,4,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-22,LAD,@SDP,3,RF,4,0,0,0,0,0,0,0,0,25.0 %,50.0 %,.000,.000,.000,.250,.000,.172,6
2014-06-21,LAD,@SDP,3,RF,4,0,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.000,.000,.250,.000,.172,6
2014-06-20,LAD,@SDP,3,RF,4,1,0,0,0,1,2,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-06-18,LAD,COL,3,RF,4,1,1,0,0,1,1,0,0,25.0 %,0.0 %,.500,.333,.500,.500,1.000,.493,225
2014-06-17,LAD,COL,3,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-06-16,LAD,COL,3,RF,5,3,0,0,0,1,1,0,0,0.0 %,20.0 %,.000,.750,.600,.600,.600,.535,253
2014-06-15,LAD,ARI,3,RF,5,2,0,0,0,0,0,0,1,0.0 %,0.0 %,.000,.400,.400,.400,.400,.357,132
2014-06-14,LAD,ARI,3,RF,4,0,0,0,0,1,0,0,1,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,124
2014-06-13,LAD,ARI,3,RF,5,0,0,0,0,0,0,0,0,0.0 %,40.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-12,LAD,@CIN,3,RF,4,1,0,0,0,0,0,0,1,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-06-11,LAD,@CIN,3,RF,4,0,0,0,0,0,0,0,0,0.0 %,75.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-10,LAD,@CIN,3,RF,5,2,1,0,0,1,0,1,0,0.0 %,40.0 %,.200,.667,.400,.400,.600,.435,185
2014-06-09,LAD,@CIN,3,RF,5,1,0,0,0,1,0,0,0,20.0 %,20.0 %,.000,.333,.250,.400,.250,.316,104
2014-06-07,LAD,@COL,3,RF,2,0,0,0,0,0,0,0,0,50.0 %,50.0 %,.000,.000,.000,.500,.000,.345,124
2014-06-06,LAD,@COL,3,RF,5,1,0,0,0,1,0,1,0,0.0 %,40.0 %,.000,.333,.200,.200,.200,.178,10
2014-06-04,LAD,CHW,2,RF,4,0,0,0,0,0,0,0,0,50.0 %,0.0 %,.000,.000,.000,.500,.000,.345,124
2014-06-03,LAD,CHW,3,RF,5,2,1,0,0,0,0,0,0,20.0 %,0.0 %,.250,.500,.500,.600,.750,.573,279
2014-06-02,LAD,CHW,3,RF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2014-06-01,LAD,PIT,3,RF,4,2,1,0,0,0,0,0,0,0.0 %,0.0 %,.250,.500,.500,.500,.750,.544,259
2014-05-31,LAD,PIT,3,RF,4,1,0,0,0,2,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-05-30,LAD,PIT,3,RF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-05-29,LAD,PIT,3,RF,4,2,2,0,0,1,1,0,0,0.0 %,25.0 %,.500,.667,.500,.500,1.000,.641,326
2014-05-28,LAD,CIN,3,RF,4,1,0,0,1,1,1,0,0,0.0 %,25.0 %,.750,.000,.250,.250,1.000,.534,253
2014-05-27,LAD,CIN,3,RF,4,1,0,0,0,1,0,0,1,25.0 %,0.0 %,.000,.500,.500,.750,.500,.576,281
2014-05-26,LAD,CIN,3,RF,4,0,0,0,0,0,0,0,0,50.0 %,25.0 %,.000,.000,.000,.500,.000,.230,45
2014-05-25,LAD,@PHI,3,RF,5,2,1,0,0,1,0,1,0,0.0 %,20.0 %,.200,.500,.400,.400,.600,.435,185
2014-05-24,LAD,@PHI,3,RF,4,2,0,1,0,1,0,0,0,0.0 %,0.0 %,.500,.500,.500,.500,1.000,.632,319
